item,itemLabel,itemDescription,countryLabel
http://www.wikidata.org/entity/Q3646551,Pico Bonpland,mountain in Venezuela,Venezuela
http://www.wikidata.org/entity/Q30434,Dôme du Goûter,mountain in the Mont Blanc massif in the Alps,Italy
http://www.wikidata.org/entity/Q30434,Dôme du Goûter,mountain in the Mont Blanc massif in the Alps,France
http://www.wikidata.org/entity/Q2648183,Nevado del Quindío,mountain in Colombia,Colombia
http://www.wikidata.org/entity/Q1474806,Tungnafellsjökull,mountain in Iceland,Iceland
http://www.wikidata.org/entity/Q1315012,Snæfellsjökull,mountain in Iceland,Iceland
http://www.wikidata.org/entity/Q15260,Glärnisch,mountain of the Glarus Alps,Switzerland
http://www.wikidata.org/entity/Q1310658,Eiríksjökull,mountain in Iceland,Iceland
http://www.wikidata.org/entity/Q11241557,Breakulen,mountain in Norway,Norway
http://www.wikidata.org/entity/Q335883,Þórisjökull,mountain in Iceland,Iceland
